Title,Artist,Score,Last_Rank,Last_Number,On_Chart,Unique_id
トキメキUNITED,リアルアイドルプロジェクト,0.0,5,2182,1,30c830ad30e130ea30a230eb
夢みた果実,純烈,0.0,6,2182,1,5922307f305f7d1470c8
抱きしめて,坂本真綾,0.0,9,2182,1,62b1304d30575742672c771f
Magnetic,ILLIT,0.0,20,2192,4,004d006100670049004c004c
Shouted Serenade,LiSA,0.0,13,2182,1,00530068006f004c00690053
Whatever Happens,INI,0.0,14,2182,1,0057006800610049004e0049
旅立ちの鐘,20th Century,0.0,15,2182,1,65c57acb3061003200300074
遥か,Aimer,0.0,18,2182,1,9065304b00410069006d
チャンスは平等,乃木坂46,0.0,18,2187,5,30c130e330f34e4367285742
Blow Your Cover,Number_i,0.0,5,2183,1,0042006c006f004e0075006d
さよーならまたいつか!- Sayonara,米津玄師,0.0,18,2193,9,3055308830fc7c736d257384
WE ARE,STARTO for you,0.0,9,2183,1,005700450020005300540041
大胆,WANDS,0.0,12,2183,1,592780c600570041004e
WHY?,Stray Kids,0.0,13,2183,1,005700480059005300740072
相思相愛,aiko,0.0,19,2188,6,76f8601d76f800610069006b
邂逅,BUMP OF CHICKEN,0.0,20,2185,2,9082900500420055004d
Stormy,Nissy × SKY-HI,0.0,11,2184,1,00530074006f004e00690073
声,ZORN,0.0,13,2184,1,58f0005a004f0052
青春謳歌,幾田りら feat. ano,0.0,14,2184,1,975266258b335e7e7530308a
人間として,椎名林檎,0.0,17,2184,1,4eba95933068690e540d6797
hanataba,milet,0.0,11,2192,5,00680061006e006d0069006c
Masterplan,BE:FIRST,0.0,10,2187,3,004d0061007300420045003a
ハート,WEST.,0.0,14,2189,1,30cf30fc30c8005700450053
FATE,WEST.,0.0,15,2189,1,004600410054005700450053
ADRENALIZED,水樹奈々,0.0,15,2186,2,0041004400526c346a395948
I'll be there,MAN WITH A MISSION,0.0,14,2185,1,00490027006c004d0041004e
音色,SixTONES,0.0,12,2191,6,97f38272005300690078
MORNING SUN,EXILE B HAPPY,0.0,4,2186,1,004d004f0052004500580049
無責任でええじゃないかLOVE,KAMIGATA BOYZ,0.0,11,2186,1,71218cac4efb004b0041004d
記憶の旅人,Mr.Children,0.0,13,2187,2,8a1861b6306e004d0072002e
じゃぱかわんだほ〜,パンダドラゴン,0.0,16,2186,1,30583083307130d130f330c0
両翼のBrilliance,Morfonica,0.0,17,2186,1,4e217ffc306e004d006f0072
会いに行くのに,あいみょん,0.0,18,2194,1,4f1a3044306b30423044307f
君はハニーデュー,日向坂46,0.0,17,2191,6,541b306f30cf65e554115742
五月雨(Samidare),&TEAM,0.0,15,2191,6,4e94670896e8002600540045
CyberHelix,THE RAMPAGE from EXILE TRIBE,0.0,6,2187,1,004300790062005400480045
ビリミ,ICEx,0.0,9,2187,1,30d330ea30df004900430045
Lose My Breath (feat.Charlie Puth),Stray Kids,0.0,14,2187,1,004c006f0073005300740072
Romantic,SEKAI NO OWARI,0.0,15,2188,2,0052006f006d00530045004b
《A》BEGINNING,Aぇ! group,0.0,10,2191,5,300a0041300b004130470021
トウキョウ・ブラー,Juice=Juice,0.0,4,2188,1,30c830a630ad004a00750069
Algorhythm,ITZY,0.0,5,2188,1,0041006c006700490054005a
夢幻,MY FIRST STORY × HYDE,0.0,1,2196,11,59225e7b004d00590020
Get Wild,B'z,0.0,11,2188,1,00470065007400420027007a
MIRAI(Click,ME:I,0.0,19,2190,3,004d00490052004d0045003a
I wonder,Da-iCE,0.0,20,2197,10,00490020007700440061002d
halfmoon,King & Prince,0.0,18,2189,2,00680061006c004b0069006e
moooove!!,King & Prince,0.0,19,2189,2,006d006f006f004b0069006e
WOKE UP,XG,0.0,3,2189,1,0057004f004b00580047
ブルーシャワー,M!LK,0.0,5,2189,1,30d630eb30fc004d0021004c
これが愛なのか?,NMB48,0.0,16,2195,1,3053308c304c004e004d0042
Dear,Mrs. GREEN APPLE,0.0,9,2192,6,004400650061004d00720073
迷宮のマリア,辰巳ゆうと,0.0,16,2189,2,8ff75bae306e8fb05df33086
永久 -トコシエ-,HYDE × MY FIRST STORY,0.0,20,2189,1,6c384e450020004800590044
BON,Number_i,0.0,1,2189,2,0042004f004e004e0075006d
Love seeker,JO1,0.0,2,2189,2,004c006f0076004a004f0031
拝啓、俺たちへ,コムドット,0.0,7,2190,2,62dd5553300130b330e030c9
毎日,米津玄師,0.0,11,2190,2,6bce65e57c736d257384
灰toダイヤモンド,BEYOOOOONDS,0.0,6,2189,2,70700074006f004200450059
最上級にかわいいの!,超ときめき♡宣伝部,0.0,7,2189,2,67004e0a7d1a8d853068304d
HITCHHIKER(Love seeker),JO1,0.0,18,2190,2,004800490054004a004f0031
Go City Go,BEYOOOOONDS,0.0,13,2189,2,0047006f0020004200450059
フックの法則,BEYOOOOONDS,0.0,14,2189,2,30d530c330af004200450059
whodunit-GLAY × JAY(ENHYPEN)-,GLAY,0.0,16,2189,1,00770068006f0047004c0041
シェア,GLAY,0.0,17,2189,1,30b730a730a20047004c0041
Moonlight,NCT DREAM,0.0,18,2191,2,004d006f006f004e00430054
はじまりの物語(誓いの花束を〜With You〜),すとぷり,0.0,8,2190,1,306f3058307e305930683077
Never Let Go,Jung Kook,0.0,9,2190,1,004e00650076004a0075006e
自業自得,櫻坂46,0.0,1,2194,1,81ea696d81ea6afb57420034
SHOW OFF,CRAVITY,0.0,13,2190,1,00530048004f004300520041
君じゃなきゃだめなんだ,A.B.C-Z,0.0,17,2190,1,541b305830830041002e0042
Perfect Storm  (feat. TAEHYUN of TOMORROW X TOGETHER),山下智久,0.0,19,2190,1,0050006500725c714e0b667a
誓いの花束を〜With You〜,すとぷり,0.0,20,2190,1,8a933044306e305930683077
Sweetest Tune,Travis Japan,0.0,2,2191,1,005300770065005400720061
コロンブス,Mrs. GREEN APPLE,0.0,2,2193,3,30b330ed30f3004d00720073
体育館ディスコ,≒JOY,0.0,4,2191,1,4f5380b299282252004a004f
LOVE BANDITZ,OWV,0.0,5,2191,1,004c004f0056004f00570056
君という奇跡,高野洸,0.0,20,2191,1,541b306830449ad891ce6d38
まるごとJELLY BE∀NS,カラフルダイヤモンド,0.0,5,2193,1,307e308b305430ab30e930d5
Supernatural,NewJeans,0.0,14,2194,2,005300750070004e00650077
1st IS:SUE(CONNECT,IS:SUE,0.0,12,2194,2,00310073007400490053003a
STATIC),IS:SUE,0.0,13,2193,1,00530054004100490053003a
JEONGHAN X WONWOO 1st Single Album「THIS MAN」(Last night(Guitar by Park Juwon)),JEONGHAN X WONWOO,0.0,14,2193,1,004a0045004f004a0045004f
CONNECT,IS:SUE,0.0,15,2193,1,0043004f004e00490053003a
Last night (Guitar by Park Juwon),JEONGHAN X WONWOO,0.0,16,2193,1,004c00610073004a0045004f
NewJeans ‘Supernatural’,NewJeans,0.0,17,2194,2,004e00650077004e00650077
キ・セ・イ・ラッシュ(殺意vs殺意),マキシマム ザ ホルモン,0.0,20,2196,5,30ad30fb30bb30de30ad30b7
Songbird,NCT WISH,0.0,11,2196,3,0053006f006e004e00430054
LOUD,INI,0.0,17,2195,2,004c004f00550049004e0049
MEMORIES of the End,UVERworld,0.0,9,2194,1,004d0045004d005500560045
恋のブギウギナイト,サザンオールスターズ,0.0,10,2194,1,604b306e30d630b530b630f3
THE FRAME(LOUD),INI,0.0,14,2195,2,0054004800450049004e0049
永久 -トコシエ-,MY FIRST STORY × HYDE,0.0,9,2196,3,6c384e450020004d00590020
Smeraldo Garden Marching Band (feat. Loco),"Jimin, Loco",0.0,20,2194,1,0053006d0065004a0069006d
Hush-Hush,BE:FIRST X ATEEZ,0.0,2,2195,1,00480075007300420045003a
Hot Mess,aespa,0.0,16,2196,2,0048006f0074006100650073
ひとつの誓い (We'll Never Change),TOMORROW X TOGETHER,0.0,6,2195,1,3072306830640054004f004d
UNDEAD,YOASOBI,0.0,7,2196,2,0055004e00440059004f0041
アポロドロス,Mrs. GREEN APPLE,0.0,12,2195,1,30a230dd30ed004d00720073
ファタール - Fatal,GEMN (中島健人・キタニタツヤ),0.0,6,2197,3,30d530a130bf00470045004d
helm’N bass,10-FEET,0.0,20,2195,1,00680065006c00310030002d
GONG,SixTONES,0.0,2,2196,1,0047004f004e005300690078
ここに帰ってきて,SixTONES,0.0,12,2196,1,30533053306b005300690078
"AND,(Earth,Wind & Fire(Japanese Ver.))",BOYNEXTDOOR,0.0,14,2196,1,0041004e00440042004f0059
誓い(CHIKAI)(ひとつの誓い(We’ll Never Change)),TOMORROW X TOGETHER,0.0,17,2197,2,8a93304400280054004f004d
Delusion:All,ONE OK ROCK,0.0,13,2196,1,00440065006c004f004e0045
シカ色デイズ,"鹿乃子のこ (CV.潘めぐみ), 虎視虎子 (CV.藤田咲), 虎視餡子 (CV.田辺留依), 馬車芽めめ (CV.和泉風花)",0.0,15,2196,1,30b730ab82729e7f4e435b50
One and Only,BOYNEXTDOOR,0.0,19,2196,1,004f006e00650042004f0059
青嵐(Aoarashi),&TEAM,0.0,12,2197,1,97525d500028002600540045
スペアのない恋,僕が見たかった青空,0.0,1,2197,1,30b930da30a250d5304c898b
BREAKOUT,Snow Man,0.0,11,2197,1,0042005200450053006e006f
君は僕のもの,Snow Man,0.0,16,2197,1,541b306f50d50053006e006f
恋 詰んじゃった,AKB48,0.0,15,2197,1,604b00208a700041004b0042
familie,Mrs. GREEN APPLE,0.0,8,2197,1,00660061006d004d00720073
RED OUT,米津玄師,0.0,13,2197,1,0052004500447c736d257384
舞台に立って,YOASOBI,0.0,14,2197,1,821e53f0306b0059004f0041
新しい恋人達に,back number,0.0,3,2197,1,65b030573044006200610063
そうしようか,Nissy (西島隆弘),0.0,18,2197,1,305d30463057004e00690073
はいよろこんで,こっちのけんと,0.0,4,2197,1,306f30443088305330633061
青と夏,Mrs. GREEN APPLE,0.0,10,2197,1,97523068590f004d00720073
青嵐 (Aoarashi),&TEAM,0.0,7,2197,1,97525d500020002600540045
藤田ことね 1st Single「世界一可愛い私」,初星学園,0.0,9,2197,1,85e475303053521d661f5b66
